query,response,intent
hi,Hello!,greeting
how are you?,Hello!,greeting
is anyone there?,Hello!,greeting
hello,Hello!,greeting
good day,Hello!,greeting
what's up,Hello!,greeting
how are ya,Hello!,greeting
heyy,Hello!,greeting
whatsup,Hello!,greeting
??? ??? ??,Hello!,greeting
cya,Sad to see you go :(,goodbye
see you,Sad to see you go :(,goodbye
bye bye,Sad to see you go :(,goodbye
see you later,Sad to see you go :(,goodbye
goodbye,Sad to see you go :(,goodbye
i am leaving,Sad to see you go :(,goodbye
bye,Sad to see you go :(,goodbye
have a good day,Sad to see you go :(,goodbye
talk to you later,Sad to see you go :(,goodbye
ttyl,Sad to see you go :(,goodbye
i got to go,Sad to see you go :(,goodbye
gtg,Sad to see you go :(,goodbye
what is the name of your developers,College students,creator
what is the name of your creators,College students,creator
what is the name of the developers,College students,creator
what is the name of the creators,College students,creator
who created you,College students,creator
your developers,College students,creator
your creators,College students,creator
who are your developers,College students,creator
developers,College students,creator
you are made by,College students,creator
you are made by whom,College students,creator
who created you,College students,creator
who create you,College students,creator
creators,College students,creator
who made you,College students,creator
who designed you,College students,creator
name,You can call me Mind Reader.,name
your name,You can call me Mind Reader.,name
do you have a name,You can call me Mind Reader.,name
what are you called,You can call me Mind Reader.,name
what is your name,You can call me Mind Reader.,name
what should i call you,You can call me Mind Reader.,name
whats your name?,You can call me Mind Reader.,name
what are you,You can call me Mind Reader.,name
who are you,You can call me Mind Reader.,name
who is this,You can call me Mind Reader.,name
what am i chatting to,You can call me Mind Reader.,name
who am i taking to,You can call me Mind Reader.,name
what are you,You can call me Mind Reader.,name
timing of college,College is open 8am-5pm Monday-Saturday!,hours
what is college timing,College is open 8am-5pm Monday-Saturday!,hours
working days,College is open 8am-5pm Monday-Saturday!,hours
when are you guys open,College is open 8am-5pm Monday-Saturday!,hours
what are your hours,College is open 8am-5pm Monday-Saturday!,hours
hours of operation,College is open 8am-5pm Monday-Saturday!,hours
when is the college open,College is open 8am-5pm Monday-Saturday!,hours
college timing,College is open 8am-5pm Monday-Saturday!,hours
what about college timing,College is open 8am-5pm Monday-Saturday!,hours
is college open on saturday,College is open 8am-5pm Monday-Saturday!,hours
tell something about college timing,College is open 8am-5pm Monday-Saturday!,hours
what is the college  hours,College is open 8am-5pm Monday-Saturday!,hours
when should i come to college,College is open 8am-5pm Monday-Saturday!,hours
when should i attend college,College is open 8am-5pm Monday-Saturday!,hours
what is my college time,College is open 8am-5pm Monday-Saturday!,hours
college timing,College is open 8am-5pm Monday-Saturday!,hours
timing college,College is open 8am-5pm Monday-Saturday!,hours
more info,You can contact at: NUMBER,number
contact info,You can contact at: NUMBER,number
how to contact college,You can contact at: NUMBER,number
college telephone number,You can contact at: NUMBER,number
college number,You can contact at: NUMBER,number
what is your contact no,You can contact at: NUMBER,number
contact number?,You can contact at: NUMBER,number
how to call you,You can contact at: NUMBER,number
college phone no?,You can contact at: NUMBER,number
how can i contact you,You can contact at: NUMBER,number
can i get your phone number,You can contact at: NUMBER,number
how can i call you,You can contact at: NUMBER,number
phone number,You can contact at: NUMBER,number
phone no,You can contact at: NUMBER,number
call,You can contact at: NUMBER,number
list of courses,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
list of courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
list of courses offered in,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
what are the courses offered in your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
courses?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
courses offered in (your univrsity(uni) name),"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
courses you offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
branches?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
courses available at uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
branches available at your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
what are the courses in uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
what are branches in uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
what are courses in uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
branches available in uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
can you tell me the courses available in uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
can you tell me the branches available in uni?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
computer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
it,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
it,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
information technology,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
ai/ml,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",course
